velocity,deceleration,acceleration,lateral_jerk,driving_style
very_slow,small,small,small,calm
very_slow,small,small,medium,moderate
very_slow,small,small,large,between_moderate_and_aggressive
very_slow,small,medium,small,more_calm_than_moderate
very_slow,small,medium,medium,moderate
very_slow,small,medium,large,between_moderate_and_aggressive
very_slow,small,large,small,more_moderate_than_calm
very_slow,small,large,medium,more_moderate_than_aggressive
very_slow,small,large,large,between_moderate_and_aggressive
very_slow,medium,small,small,more_calm_than_moderate
very_slow,medium,small,medium,moderate
very_slow,medium,small,large,between_moderate_and_aggressive
very_slow,medium,medium,small,between_calm_and_moderate
very_slow,medium,medium,medium,moderate
very_slow,medium,medium,large,between_moderate_and_aggressive
very_slow,medium,large,small,more_moderate_than_calm
very_slow,medium,large,medium,more_moderate_than_aggressive
very_slow,medium,large,large,between_moderate_and_aggressive
very_slow,large,small,small,moderate
very_slow,large,small,medium,more_moderate_than_aggressive
very_slow,large,small,large,between_moderate_and_aggressive
very_slow,large,medium,small,more_moderate_than_calm
very_slow,large,medium,medium,more_moderate_than_aggressive
very_slow,large,medium,large,between_moderate_and_aggressive
very_slow,large,large,small,between_moderate_and_aggressive
very_slow,large,large,medium,more_aggressive_than_moderate
very_slow,large,large,large,aggressive
slow,small,small,small,calm
slow,small,small,medium,moderate
slow,small,small,large,between_moderate_and_aggressive
slow,small,medium,small,more_calm_than_moderate
slow,small,medium,medium,moderate
slow,small,medium,large,between_moderate_and_aggressive
slow,small,large,small,more_moderate_than_calm
slow,small,large,medium,more_moderate_than_aggressive
slow,small,large,large,between_moderate_and_aggressive
slow,medium,small,small,more_calm_than_moderate
slow,medium,small,medium,moderate
slow,medium,small,large,between_moderate_and_aggressive
slow,medium,medium,small,between_calm_and_moderate
slow,medium,medium,medium,moderate
slow,medium,medium,large,between_moderate_and_aggressive
slow,medium,large,small,more_moderate_than_calm
slow,medium,large,medium,more_moderate_than_aggressive
slow,medium,large,large,between_moderate_and_aggressive
slow,large,small,small,moderate
